"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"181",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,46.8,31.3,0.03,0,321,0.5625
"182",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2021,72.4,65.6,0,0,296,0.46484375
"183",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2021,52.6,36.4,0,0,276,0.38671875
"184",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2021,73.5,68.9,0,0,350,0.67578125
"185",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,62.5,60.9,0.17,0,279,0.474860335195531
"186",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,69,65.6,0.01,0,339,0.810055865921788
"187",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,49.7,45,0,0,318,0.692737430167598
"188",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2022,50,38.5,0,0,296,0.569832402234637
"189",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2022,68,66.1,0.02,1,295,0.564245810055866
"190",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022,30.5,9,0,0,272,0.435754189944134
"191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,41.6,31.8,0,0,235,0.229050279329609
"192",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,50.8,44.3,0,0,312,0.659217877094972
"193",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2022,58.9,53.5,0,1,278,0.46927374301676
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,45.6,43.3,0,1,225,0.266666666666667
"195",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2023,40.5,25.3,0.1,0,229,0.290909090909091
"196",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,48.9,44.6,0,1,257,0.460606060606061
"197",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2023,52.7,37.5,0,0,298,0.709090909090909
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,70.8,67.8,0,0,301,0.727272727272727
"199",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2023,38.1,18.4,0,0,273,0.557575757575758
"200",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2023,51.5,45.9,0.02,0,244,0.381818181818182
"201",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2023,57.3,51.1,0,0,286,0.636363636363636
"202",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022,31.7,13.7,0,0,248,0.301675977653631
