"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"407",5,56.7,48.7,0,0,293,0.678787878787879
"408",5,56.5,51,0,1,346,0.66015625
"409",5,65.4,55.5,0,0,343,0.6484375
"410",5,29.4,23.4,0.36,0,279,0.3984375
"411",5,65.9,56.1,0.22,0,353,0.6875
"412",5,39.9,34.1,0,0,267,0.3515625
"413",5,74.2,70.7,0,1,330,0.59765625
"414",5,35.8,25.2,0,0,245,0.265625
"415",5,40.8,33.6,0.05,0,237,0.339393939393939
"416",5,72.5,68.1,0,0,356,0.69921875
"417",5,61.2,58.6,0,1,333,0.609375
"418",5,32.6,21.3,0.17,0,239,0.2421875
"419",5,72.1,64.8,0,0,300,0.48046875
"420",5,66,57.5,0,0,361,0.932960893854749
"421",5,57.1,42.9,0,0,286,0.513966480446927
"422",5,30.5,18,0,0,278,0.46927374301676
"423",5,49,34.3,0,0,259,0.363128491620112
"424",5,45.9,38.5,0,0,306,0.625698324022346
"425",5,64.8,54.1,0,0,284,0.502793296089385
"426",5,73,65.4,0,0,308,0.636871508379888
"427",5,54.2,43.3,0,0,330,0.903030303030303
"428",5,66.6,65.1,0.24,1,261,0.484848484848485
"429",5,45.1,36.6,0.01,0,273,0.557575757575758
"430",5,34.1,17.7,0,0,239,0.351515151515152
"431",5,73.4,67.5,0,0,319,0.5546875
"432",5,34.6,33.8,0.25,0,262,0.33203125
"433",5,34.1,31.9,0.01,0,246,0.26953125
"434",5,75.3,72.8,0,1,316,0.54296875
"435",5,73,68.5,0,0,281,0.606060606060606
"436",5,48.4,45,0.26,1,295,0.690909090909091
"437",5,58.9,55.2,1.44,0,323,0.5703125
"438",5,38.5,29.9,0,0,243,0.2578125
"439",5,46.1,37.9,0,0,295,0.4609375
"440",5,64.2,55.5,0.28,0,270,0.36328125
"441",5,62.2,56.7,0,0,286,0.636363636363636
"442",5,45.9,45.2,0,1,234,0.321212121212121
"443",5,59.5,55.4,0,0,291,0.666666666666667
"444",5,64.3,53.7,0,0,222,0.248484848484848
"445",5,44.4,38.3,0,0,258,0.466666666666667
"446",5,73.2,67.5,0,0,292,0.672727272727273
"447",5,43.9,35.9,0.06,0,257,0.460606060606061
"448",5,38.9,32,0.01,0,311,0.787878787878788
"449",5,64.8,62.5,0,0,284,0.624242424242424
"450",5,46.9,40.9,0,0,285,0.63030303030303
"451",5,48.2,35.8,0,0,273,0.557575757575758
"452",5,53.4,49.6,0.02,0,252,0.43030303030303
"453",5,53.1,39.1,0,0,330,0.59765625
"454",5,73.5,69.5,0,0,362,0.72265625
"455",5,60.4,54,0,0,339,0.6328125
"456",5,73.7,68.3,0,0,324,0.57421875
"457",5,30.8,21.4,0.02,0,256,0.454545454545455
"458",5,56.6,52.8,0,1,280,0.6
"459",5,36.6,28.4,0,0,236,0.333333333333333
"460",5,51.3,48.1,0,0,284,0.41796875
"461",5,50,44.7,0,0,278,0.39453125
"462",5,46.5,29.5,0,0,317,0.546875
"463",5,37.5,26.5,0,0,216,0.212121212121212
"464",5,52.4,50.6,0.23,1,251,0.424242424242424
"465",5,71.8,65.1,0.03,0,261,0.484848484848485
"466",6,49.2,42.6,0,0,282,0.491620111731844
"467",6,72.5,62.7,0.01,0,283,0.497206703910615
"468",6,65.7,65.1,0.07,0,202,0.127272727272727
"469",6,42.3,37.9,0,0,302,0.603351955307263
"470",6,60.9,55.5,0,0,302,0.603351955307263
"471",6,47.1,30.6,0.85,0,291,0.541899441340782
"472",6,69.2,65.5,0,0,279,0.474860335195531
"473",6,43.7,39.1,0.52,1,266,0.402234636871508
"474",6,68.4,53.3,0,0,370,0.75390625
"475",6,35.3,34.5,0.02,0,262,0.33203125
"476",6,71.1,65.2,0,0,365,0.734375
"477",6,46.5,28.8,0,0,217,0.15625
"478",6,49.9,38.4,0,0,293,0.453125
"479",6,73.3,68.5,0,0,319,0.5546875
"480",6,49.3,41,0.2,0,283,0.497206703910615
"481",6,43.6,36.1,0,0,335,0.787709497206704
"482",6,75.4,63.4,0.03,0,302,0.603351955307263
"483",6,42.7,36.8,0,0,246,0.290502793296089
"484",6,55.6,48.8,1.58,1,352,0.88268156424581
"485",6,46.6,41.2,0.15,0,197,0.096969696969697
"486",6,40.9,32.1,0,0,297,0.703030303030303
"487",6,41.6,29.4,0,0,271,0.545454545454545
"488",6,50.8,49.5,0.02,1,226,0.272727272727273
"489",6,58.5,55.6,0,0,274,0.563636363636364
"490",6,58.5,54.9,0,0,230,0.296969696969697
"491",6,61.3,60.6,0,1,290,0.660606060606061
"492",6,54.3,44.9,0.01,0,339,0.6328125
"493",6,35,14.6,0.22,0,302,0.48828125
"494",6,71.6,68.4,0,0,269,0.359375
"495",6,58.7,53.1,0,0,351,0.6796875
"496",6,72.6,70.6,0,1,372,0.76171875
"497",6,64.8,60.3,0,1,353,0.6875
"498",6,36.5,26.1,0,0,285,0.421875
"499",6,51.4,40.1,0.58,1,286,0.513966480446927
"500",6,53,50.5,0.03,1,308,0.636871508379888
"501",6,46.2,40.6,0,0,203,0.0502793296089385
